id_producto,unidades_estimadas,nombre_producto,stock_minimo,stock_recomendado,alerta_quiebre
P0034,491.0,AirPods Pro 2,27,518.0,
P0035,480.0,Bose QC45,19,499.0,
P0033,492.7,Sony WH-1000XM5,25,518.0,
P0032,476.0,ASUS VivoBook 16,38,514.0,
P0038,475.6,Beats Studio Pro,39,515.0,
P0039,470.7,Sennheiser HD 450,24,495.0,
P0041,475.1,Bang Olufsen H95,20,495.0,
P0040,481.3,Jabra Elite 85h,38,519.0,
P0120,493.4,Timbre Ring Video Pro,21,514.0,
P0037,486.7,JBL Charge 5,21,508.0,
P0119,495.3,Enchufe Inteligente TP,27,522.0,
P0036,488.9,Samsung Galaxy Buds2,43,532.0,
P0049,469.2,Cargador MagSafe 30W,37,506.0,
P0117,501.6,Cámara Nest Doorbell,34,536.0,
P0051,473.0,Funda iPhone 15 Pro,40,513.0,
P0050,484.8,Cable USB-C 2m,32,517.0,
P0054,477.2,Mouse Logitech MX Master,25,502.0,
P0055,488.6,Teclado Keychron K2,28,517.0,
P0053,499.9,Hub USB-C 7en1,20,520.0,
P0052,484.3,Protector Pantalla S24,31,515.0,
P0045,478.7,Marshall Emberton III,22,501.0,
P0046,476.0,JBL Flip 6,40,516.0,
P0048,479.1,Skullcandy Crusher,44,523.0,
P0047,473.6,Bose SoundLink,44,518.0,
P0043,499.2,Sony WF-1000XM5,25,524.0,
P0044,483.7,Anker Q45,23,507.0,
P0118,482.7,Termostato Nest 3,30,513.0,
P0042,487.0,Audio Technica ATH,31,518.0,
P0016,488.0,Tecno Spark 20,20,508.0,
P0123,480.4,Cerradura Yale Smart,29,509.0,
P0017,496.0,MacBook Pro M3,43,539.0,
P0124,500.9,Sensor Movimiento Aqara,35,536.0,
P0020,487.3,Lenovo ThinkPad X1,42,529.0,
P0021,474.3,ASUS ROG Zephyrus,36,510.0,
P0019,490.5,HP Spectre x360,26,516.0,
P0018,486.2,Dell XPS 15,40,526.0,
P0025,475.6,Razer Blade 15,44,520.0,
P0026,491.6,MSI Prestige 16,44,536.0,
P0028,488.7,Dell Inspiron 15,37,526.0,
P0027,483.8,MacBook Air M2,24,508.0,
P0023,470.4,Microsoft Surface Pro 9,27,497.0,
P0024,472.6,LG Gram 17,26,499.0,
P0122,526.4,Aspiradora Dyson V15,28,554.0,
P0022,490.6,Acer Swift 5,41,532.0,
P0009,496.7,Sony Xperia 1 VI,24,521.0,
P0125,485.2,TV Samsung QLED 55,20,505.0,
P0011,476.7,iPhone 14,43,520.0,
P0010,485.0,Huawei Pura 70,27,512.0,
P0014,488.4,Motorola G84,20,508.0,
P0015,480.5,Nokia G42,26,506.0,
P0013,483.0,Xiaomi Redmi Note 13,30,513.0,
P0012,496.4,Samsung A55,36,532.0,
P0005,458.2,OnePlus 12,40,498.0,
P0006,455.4,Motorola Edge 50,32,487.0,
P0008,481.1,OPPO Find X7,26,507.0,
P0007,478.8,Realme GT5,39,518.0,
P0003,464.2,Xiaomi 14 Pro,36,500.0,
P0004,455.3,Google Pixel 8,34,489.0,
P0126,485.2,Proyector BenQ 4K,35,520.0,
P0002,458.0,Samsung Galaxy S24,19,477.0,
